Action_Space_Size,Heuristic_Choice,Expanded_Number,Planning_Time_Total,Current_Cost,Error
15,-1,52.88,0.010028372,58.64,0
15,0,17.75,0.003093121,58.79,0
15,1,26.79,0.005831532,58.64,0
20,-1,76.6,0.01438504,58.64,0
20,0,21.94,0.004101086,58.94,0
20,1,27.58,0.00586709,58.64,0
25,-1,103.23,0.016851475,58.64,0
25,0,25.08,0.00552145,58.94,0
25,1,28.2,0.007051814,58.64,0
30,-1,121.46,0.022791545,58.64,0
30,0,25.39,0.005850153,58.79,0
30,1,29.45,0.010373862,58.64,0
35,-1,154.9,0.030669978,58.64,0
35,0,21.51,0.007221334,58.64,0
35,1,32.51,0.011342995,58.64,0
40,-1,192.55,0.046903551,58.64,0
40,0,33.91,0.010968874,58.94,0
40,1,36.31,0.01222414,58.64,0
45,-1,212,0.053007071,58.64,0
45,0,29.87,0.009782498,58.79,0
45,1,35.5,0.017605088,58.64,0
50,-1,247.89,0.078560255,58.64,0
50,0,31.63,0.010502234,58.79,0
50,1,35.75,0.01475497,58.64,0
55,-1,291.41,0.104620619,58.64,0
55,0,33.79,0.014925075,58.79,0
55,1,37.07,0.016956508,58.64,0
60,-1,308.94,0.102667608,58.64,0
60,0,39.65,0.013815253,58.79,0
60,1,40.52,0.019626856,58.64,0
65,-1,373.03,0.163165455,58.64,0
65,0,57.3,0.026127832,58.94,0
65,1,49.91,0.03131633,58.64,0
70,-1,387.19,0.147778721,58.64,0
70,0,30.18,0.012273951,58.64,0
70,1,45.19,0.023541574,58.64,0
75,-1,466.11,0.226081274,58.64,0
75,0,61.81,0.027405341,58.94,0
75,1,66.45,0.038742316,58.64,0
80,-1,500.02,0.302846861,58.64,0
80,0,66.13,0.03360235,58.94,0
80,1,54.05,0.035197053,58.64,0
85,-1,511.57,0.271242998,58.64,0
85,0,38.77,0.016570048,58.79,0
85,1,46.74,0.030797169,58.64,0
90,-1,599.73,0.450291891,58.64,0
90,0,51.8,0.028080146,58.79,0
90,1,48.42,0.034007232,58.64,0
95,-1,693.56,0.626045732,58.64,0
95,0,33.14,0.017125771,58.64,0
95,1,51.39,0.040198748,58.64,0
100,-1,743.97,0.590391686,58.64,0
100,0,80.42,0.045154212,58.94,0
100,1,55.21,0.044598138,58.64,0
15,-2,42.09,0.023237495,58.94,0
20,-2,59.65,0.041933229,58.94,0
25,-2,85.66,0.07927599,58.94,0
30,-2,104.59,0.1102441,58.94,0
35,-2,132.9,0.165867941,58.94,0
40,-2,169.31,0.232036901,58.94,0
45,-2,206.78,0.332298656,58.94,0
50,-2,251.31,0.43487021,58.94,0
55,-2,272.43,0.521729007,58.94,0
60,-2,315.37,0.667496703,58.94,0
65,-2,335.41,0.716954007,58.94,0
70,-2,381.54,0.855002236,58.94,0
